objectid,parentid,filename,newspaper,date,location,page,tag,title,image,notes,subject,type,format,latitude,longitude
o11,,,Globe (Toronto),,"Toronto, Ontario",,GC,Globe (Toronto),N,,,record,compound_object,43.6703,-79.3867
o11m29181,o11,O11M29181.pdf,Globe (Toronto),5/29/1918,"Toronto, Ontario",1,GC,British and Foreign,N,Outbreak in Madrid,Grip,,application/pdf,43.6703,-79.3867
o11m29182,o11,O11M29182.pdf,Globe (Toronto),5/29/1918,"Toronto, Ontario",4,GC,Spain Suffers from Epidemic,N,Outbreak in Madrid,La Grippe,,application/pdf,43.6703,-79.3867
o11m30181,o11,O11M30181.pdf,Globe (Toronto),5/30/1918,"Toronto, Ontario",1,GC,British and Foreign,N,U-Boat theory,Grippe-like epidemic,,application/pdf,43.6703,-79.3867
o11m30182,o11,O11M30182.pdf,Globe (Toronto),5/30/1918,"Toronto, Ontario",16,GC,Brought by U-Boat,N,U-Boat theory,Grippe-like epidemic,,application/pdf,43.6703,-79.3867
o11m31181,o11,O11M31181.pdf,Globe (Toronto),5/31/1918,"Toronto, Ontario",5,GC,600 Doctors Ill,N,Outbreak in Spain,,,application/pdf,43.6703,-79.3867
o11jun7181,o11,O11JUN7181.pdf,Globe (Toronto),6/17/1918,"Toronto, Ontario",2,GC,Mysterious Sickness Attacks Copenhagen,N,I,Similar to that in Spain,,application/pdf,43.6703,-79.3867
o11jun21181,o11,O11JUN21181.pdf,Globe (Toronto),6/21/1918,"Toronto, Ontario",3,GC,Die at Work from Bad Food,N,I,Sickness prevelant in Spain,,application/pdf,43.6703,-79.3867
o11jun27181,o11,O11JUN27181.pdf,Globe (Toronto),6/27/1918,"Toronto, Ontario",1,GC,Influenza Prevails Along German Front,N,I,Spanish type,,application/pdf,43.6703,-79.3867
o11jul8181,o11,O11JUL8181.pdf,Globe (Toronto),7/8/1918,"Toronto, Ontario",1,M,Australians in New Drive,N,I,Spanish influenza,,application/pdf,43.6703,-79.3867
o11jul9181,o11,O11JUL9181.pdf,Globe (Toronto),7/9/1918,"Toronto, Ontario",1,M,British and Foreign,N,I,Spanish grippe,,application/pdf,43.6703,-79.3867
o11jul10181,o11,O11JUL10181.pdf,Globe (Toronto),7/10/1918,"Toronto, Ontario",3,M,Drivemaybe on the Marne,N,AC,Spanish grippe,,application/pdf,43.6703,-79.3867
o11jul11181,o11,O11JUL11181.pdf,Globe (Toronto),7/11/1918,"Toronto, Ontario",1,M,"Kaiser is Suffering from ""Spanish Grippe""",N,I,Spanish grippe,,application/pdf,43.6703,-79.3867
o11jul12181,o11,O11JUL12181.pdf,Globe (Toronto),7/12/1918,"Toronto, Ontario",6,M,The Delayed Offensive,N,I,Spanish influenza,,application/pdf,43.6703,-79.3867
o11jul13181,o11,O11JUL13181.pdf,Globe (Toronto),7/13/1918,"Toronto, Ontario",1,M,Much Strength in New Lines,N,I,Spanish influenza,,application/pdf,43.6703,-79.3867
o11jul15181,o11,O11JUL15181.pdf,Globe (Toronto),7/15/1918,"Toronto, Ontario",6,M,Notes and Comments,N,,Spanish influenza,,application/pdf,43.6703,-79.3867
o11jul15182,o11,O11JUL15182.pdf,Globe (Toronto),7/15/1918,"Toronto, Ontario",16,M,Hunger Real Cause of German Illness,N,I,Spanish influenza,,application/pdf,43.6703,-79.3867
o11jul16181,o11,O11JUL16181.pdf,Globe (Toronto),7/16/1918,"Toronto, Ontario",5,M,Germans Talk of Revolution,N,I,Spanish influenza,,application/pdf,43.6703,-79.3867
o11jul25181,o11,O11JUL25181.pdf,Globe (Toronto),7/25/1918,"Toronto, Ontario",1,M,British and Foreign,N,I,Spanish influenza,,application/pdf,43.6703,-79.3867
o11jul25182,o11,O11JUL25182.pdf,Globe (Toronto),7/25/1918,"Toronto, Ontario",16,M,To Fight Influenza,N,I,Spanish influenza,,application/pdf,43.6703,-79.3867
o11aug3181,o11,O11AUG3181.pdf,Globe (Toronto),8/3/1918,"Toronto, Ontario",7,M,Die in Berlin From Epidemic,N,I,Spanish sickness,,application/pdf,43.6703,-79.3867
o11aug6181,o11,O11AUG6181.pdf,Globe (Toronto),8/6/1918,"Toronto, Ontario",1,M,"Suanish ""Flue"" at Montreal",N,R,"Spanish ""flue""; Spanish grippe",,application/pdf,43.6703,-79.3867
o11aug1718,o11,O11AUG1718.pdf,Globe (Toronto),8/17/1918,"Toronto, Ontario",7,M,Kissers are Urged to Take Precaution,N,R,Spanish influenza; Spanish affliction; Spanish variety,,application/pdf,43.6703,-79.3867
o11aug21181,o11,O11AUG21181.pdf,Globe (Toronto),8/21/1918,"Toronto, Ontario",11,M,Spanish Grippe will Attack the Strongest,N,I,Spanish grippe,,application/pdf,43.6703,-79.3867
